"var_name","var_type","unique_count","missing_perc","zero_perc","most_common_five_non_NA","mean","min","Q1","median","Q3","max","sd"
"F2ITMnc","numeric","2","0","98.33","0","0.017","0","0","0","0","1","0.128"
"F2IIM2","numeric","2","0","34.95","0","0.651","0","0","1","1","1","0.477"
"F2IIM3","numeric","2","0","90.26","0","0.097","0","0","0","0","1","0.297"
"F2IIM4","numeric","2","0","96.9","0","0.031","0","0","0","0","1","0.173"
"F2IIM6","numeric","2","0","99.98","0","0","0","0","0","0","1","0.013"
"F2IIMm","numeric","2","0","95.27","0","0.047","0","0","0","0","1","0.212"
"F2IIMnc","numeric","2","0","98.33","0","0.017","0","0","0","0","1","0.128"
"F2VYG1","numeric","2","0","86.26","0","0.137","0","0","0","0","1","0.344"
"F2VYG2","numeric","2","0","59.5","0","0.405","0","0","0","1","1","0.491"
"F2VYG8","numeric","2","0","97.63","0","0.024","0","0","0","0","1","0.152"
"F2VSG1","numeric","2","0","92.79","0","0.072","0","0","0","0","1","0.259"
"F2VSG2","numeric","2","0","53","0","0.47","0","0","0","1","1","0.499"
"F2VSG8","numeric","2","0","97.6","0","0.024","0","0","0","0","1","0.153"
"F2VPG1","numeric","2","0","94.27","0","0.057","0","0","0","0","1","0.232"
"F2VPG2","numeric","2","0","51.71","0","0.483","0","0","0","1","1","0.5"
"F2VPG8","numeric","2","0","97.42","0","0.026","0","0","0","0","1","0.159"
"F2VCHG1","numeric","2","0","72.67","0","0.273","0","0","0","1","1","0.446"
"F2VCHG2","numeric","2","0","73.04","0","0.27","0","0","0","1","1","0.444"
"F2VCHG8","numeric","2","0","97.68","0","0.023","0","0","0","0","1","0.151"
"F2VCOG1","numeric","2","0","86.03","0","0.14","0","0","0","0","1","0.347"
"F2VCOG2","numeric","2","0","59.69","0","0.403","0","0","0","1","1","0.491"
"F2VCOG8","numeric","2","0","97.66","0","0.023","0","0","0","0","1","0.151"
"F2HOS1","numeric","2","0","89.1","0","0.109","0","0","0","0","1","0.312"
"F2HOS2","numeric","2","0","56.74","0","0.433","0","0","0","1","1","0.495"
"F2HOS8","numeric","2","0","97.55","0","0.025","0","0","0","0","1","0.155"
"F2EDU1","numeric","2","0","87.77","0","0.122","0","0","0","0","1","0.328"
"F2EDU2","numeric","2","0","57.96","0","0.42","0","0","0","1","1","0.494"
