"var_name","var_type","unique_count","missing_perc","zero_perc","most_common_five_non_NA","mean","min","Q1","median","Q3","max","sd"
"","","0","0","0","0","0","0","0","0","0","0","0"
"file name:","","0","0","0","0","0","0","0","0","0","0","0"
"","","0","0","0","0","0","0","0","0","0","0","0"
"STU_ID","integer","11384","0","0","124902 (prop: 0.01) , 124915 (prop: 0.01) , 124916 (prop: 0.01) , 124932 (prop: 0.01) , 124944 (prop: 0.01) ","4641866.698","124902","2479684","4592151.5","7221375","9199197","2663899.788"
"F4UNIV1","integer","70","0","0","1126 (prop: 82.31) , 1141 (prop: 1.91) , 1143 (prop: 1.77) , 1064 (prop: 1.57) , 1142 (prop: 1.36) ","1121.29","1025","1126","1126","1126","1152","21"
"BYS81A","integer","9","0","0","2 (prop: 38.23) , 1 (prop: 34.07) , 3 (prop: 19.71) , 4 (prop: 4.15) , 5 (prop: 1.46) ","3.871","1","1","2","3","98","13.221"
"BYS81B","integer","9","0","0","1 (prop: 35.59) , 2 (prop: 35.51) , 3 (prop: 19.38) , 4 (prop: 4.96) , 5 (prop: 2.06) ","4.133","1","1","2","3","98","14.041"
"BYS81C","integer","9","0","0","2 (prop: 34.03) , 1 (prop: 31.82) , 3 (prop: 22.36) , 4 (prop: 6.54) , 5 (prop: 2.13) ","4.33","1","1","2","3","98","14.281"
"BYS81D","integer","9","0","0","2 (prop: 33.46) , 1 (prop: 33.33) , 3 (prop: 20.41) , 4 (prop: 6.39) , 5 (prop: 2.79) ","4.385","1","1","2","3","98","14.48"
"G8URBAN","integer","3","0","0","2 (prop: 43.59) , 3 (prop: 31.44) , 1 (prop: 24.97) ","2.065","1","2","2","3","3","0.748"
"G8REGON","integer","5","0","0","3 (prop: 33.55) , 2 (prop: 27.16) , 4 (prop: 19.93) , 1 (prop: 19.19) , 8 (prop: 0.17) ","2.552","1","2","3","3","8","1.039"
"G8MINOR","integer","9","0","13.87","1 (prop: 24.4) , 0 (prop: 13.87) , 3 (prop: 13.54) , 4 (prop: 13.04) , 2 (prop: 11.31) ","22.846","0","1","3","4","998","140.052"
"G8LUNCH","integer","9","0","14.92","3 (prop: 16.88) , 5 (prop: 15.72) , 0 (prop: 14.92) , 4 (prop: 13.89) , 1 (prop: 13.73) ","20.518","0","1","3","5","998","130.737"
