"var_name","var_type","unique_count","missing_perc","zero_perc","most_common_five_non_NA","mean","min","Q1","median","Q3","max","sd"
"SEX","integer","2","0","0","2 (prop: 53.01) , 1 (prop: 46.99) ","1.53","1","1","2","2","2","0.499"
"RACE","integer","6","0","0","4 (prop: 69.47) , 2 (prop: 12.68) , 3 (prop: 9.14) , 1 (prop: 6.71) , 5 (prop: 1.03) ","3.502","1","3","4","4","8","1.058"
"BIRTHMO","integer","13","0","0","8 (prop: 9.16) , 7 (prop: 8.65) , 9 (prop: 8.43) , 12 (prop: 8.41) , 4 (prop: 8.35) ","8.684","1","4","7","10","98","14.01"
"BIRTHYR","integer","5","0","0","74 (prop: 64.94) , 73 (prop: 28.26) , 72 (prop: 4.52) , 98 (prop: 1.33) , 75 (prop: 0.95) ","73.955","72","73","74","74","98","2.848"
"BYPARED","integer","8","0","0","3 (prop: 40.1) , 2 (prop: 20.03) , 4 (prop: 14.85) , 1 (prop: 10.3) , 5 (prop: 8.84) ","3.15","1","2","3","4","98","2.533"
"BYFAMSIZ","integer","10","0","0","4 (prop: 35.45) , 5 (prop: 25.36) , 3 (prop: 13.83) , 6 (prop: 11.53) , 7 (prop: 5.04) ","5.74","2","4","4","5","98","10.093"
"BYFCOMP","integer","7","0","0","1 (prop: 69.24) , 4 (prop: 13.91) , 2 (prop: 9.23) , 6 (prop: 2.28) , 5 (prop: 2.18) ","2.875","1","1","1","2","98","10.389"
"BYPARMAR","integer","7","0","0","6 (prop: 74.6) , 1 (prop: 9.53) , 98 (prop: 7.61) , 3 (prop: 2.92) , 2 (prop: 2.24) ","12.295","1","6","6","6","98","24.645"
"BYFAMINC","integer","16","0","0","11 (prop: 19.17) , 10 (prop: 17.28) , 12 (prop: 12.74) , 9 (prop: 9.47) , 98 (prop: 9.1) ","17.78","1","9","10","12","98","25.502"
"F1S39A","integer","14","0","0","2 (prop: 18.45) , 5 (prop: 17.38) , 3 (prop: 16.98) , 4 (prop: 13.69) , 6 (prop: 10.32) ","12.608","1","3","5","6","99","26.704"
"F1S39B","integer","14","0","0","3 (prop: 19.95) , 2 (prop: 19.05) , 4 (prop: 17.03) , 5 (prop: 15.65) , 6 (prop: 9.21) ","12.47","1","3","4","6","99","26.879"
"F1S39C","integer","14","0","0","2 (prop: 18.97) , 3 (prop: 14.84) , 1 (prop: 14.41) , 4 (prop: 12.9) , 5 (prop: 11.78) ","12.475","1","2","4","6","99","27.628"
"F1S39D","integer","14","0","0","2 (prop: 17.51) , 3 (prop: 17.2) , 4 (prop: 15.29) , 5 (prop: 15.28) , 6 (prop: 10.57) ","12.737","1","3","4","6","99","27.071"
"F1S41AA","integer","9","0","0","2 (prop: 68.28) , 99 (prop: 7.09) , 98 (prop: 5.91) , 4 (prop: 5.88) , 1 (prop: 4.73) ","14.946","1","2","2","3","99","32.543"
"F1S41AB","integer","9","0","0","2 (prop: 68.2) , 4 (prop: 8.07) , 99 (prop: 7.09) , 98 (prop: 5.81) , 3 (prop: 5.01) ","15.009","1","2","2","4","99","32.453"
"F1S41AC","integer","9","0","0","2 (prop: 67.52) , 99 (prop: 7.09) , 98 (prop: 6.25) , 4 (prop: 6.11) , 1 (prop: 5.93) ","15.256","1","2","2","3","99","32.901"
"F1S41AD","integer","9","0","0","2 (prop: 59.1) , 1 (prop: 19.75) , 99 (prop: 7.09) , 98 (prop: 6.82) , 4 (prop: 2.57) ","15.491","1","2","2","2","99","33.537"
"F1S41AE","integer","9","0","0","2 (prop: 51.77) , 1 (prop: 30.01) , 98 (prop: 7.37) , 99 (prop: 7.09) , 5 (prop: 1.72) ","15.891","1","1","2","2","99","34.185"
"F1S41AF","integer","9","0","0","2 (prop: 60.77) , 1 (prop: 10.69) , 99 (prop: 7.09) , 98 (prop: 6.9) , 4 (prop: 5.31) ","15.816","1","2","2","3","99","33.563"
"F1S41AG","integer","9","0","0","2 (prop: 60.05) , 5 (prop: 11.15) , 99 (prop: 7.09) , 4 (prop: 6.45) , 98 (prop: 6.05) ","15.304","1","2","2","4","99","32.62"
"F1S41AH","integer","9","0","0","2 (prop: 75.94) , 98 (prop: 7.34) , 99 (prop: 7.09) , 1 (prop: 4.14) , 4 (prop: 2.25) ","16.087","1","2","2","2","99","33.942"
"F1S41AI","integer","9","0","0","2 (prop: 67.25) , 1 (prop: 14.5) , 98 (prop: 7.46) , 99 (prop: 7.09) , 5 (prop: 1.59) ","16.061","1","2","2","2","99","34.13"
"F1S41BA","integer","6","0","0","2 (prop: 66.87) , 3 (prop: 19.18) , 9 (prop: 7.09) , 8 (prop: 3.45) , 1 (prop: 2.09) ","2.901","1","2","2","3","9","2.042"
"F1S41BB","integer","6","0","0","2 (prop: 74.86) , 3 (prop: 10.04) , 9 (prop: 7.09) , 8 (prop: 3.79) , 1 (prop: 3.7) ","2.797","1","2","2","2","9","2.088"
"F1S41BC","integer","7","0","0","2 (prop: 75.49) , 9 (prop: 7.09) , 1 (prop: 5.74) , 3 (prop: 5.2) , 8 (prop: 3.95) ","2.779","1","2","2","2","9","2.123"
"F1S41BD","integer","7","0","0","2 (prop: 75.72) , 3 (prop: 7.79) , 9 (prop: 7.09) , 1 (prop: 5.07) , 8 (prop: 4.02) ","2.772","1","2","2","2","9","2.115"
"F1S41BE","integer","7","0","0","2 (prop: 79.15) , 3 (prop: 7.9) , 9 (prop: 7.09) , 8 (prop: 3.88) , 1 (prop: 1.16) ","2.813","1","2","2","2","9","2.082"
"F1S41BF","integer","7","0","0","2 (prop: 65.28) , 1 (prop: 11.39) , 3 (prop: 11.16) , 9 (prop: 7.09) , 8 (prop: 4.05) ","2.759","1","2","2","2","9","2.152"
"F1S41BG","integer","7","0","0","2 (prop: 56.28) , 3 (prop: 27.5) , 9 (prop: 7.09) , 1 (prop: 3.87) , 8 (prop: 3.75) ","2.988","1","2","2","3","9","2.056"
"F1S41BH","integer","7","0","0","2 (prop: 66.51) , 1 (prop: 15.06) , 9 (prop: 7.09) , 3 (prop: 6.47) , 8 (prop: 4.34) ","2.682","1","2","2","2","9","2.194"
"F1S41BI","integer","7","0","0","2 (prop: 66.6) , 1 (prop: 11.61) , 3 (prop: 9) , 9 (prop: 7.09) , 8 (prop: 4.12) ","2.751","1","2","2","2","9","2.162"
"F1S42","integer","9","0","32.65","0 (prop: 32.65) , 2 (prop: 18.75) , 1 (prop: 15.66) , 3 (prop: 11.3) , 4 (prop: 11.21) ","10.015","0","0","2","3","99","27.471"
"F1DOSTAT","integer","6","0","93.03","0 (prop: 93.03) , 4 (prop: 3.52) , 1 (prop: 2.73) , 3 (prop: 0.51) , 2 (prop: 0.12) ","0.19","0","0","0","0","5","0.791"
"G8CTRL1","integer","4","0","0","1 (prop: 82.37) , 2 (prop: 9.71) , 4 (prop: 4.45) , 3 (prop: 3.47) ","1.3","1","1","1","1","4","0.739"
"G10CTRL1","integer","6","0","0","1 (prop: 85.66) , 2 (prop: 6.56) , 4 (prop: 3.61) , 3 (prop: 2.42) , 98 (prop: 1.33) ","2.526","1","1","1","1","98","11.092"
"G10URBAN","integer","4","0","0","2 (prop: 39.47) , 3 (prop: 31.48) , 1 (prop: 27.78) , 8 (prop: 1.26) ","2.113","1","1","2","3","8","1.018"
"G10REGON","integer","5","0","0","3 (prop: 33.42) , 2 (prop: 27) , 4 (prop: 19.76) , 1 (prop: 19.05) , 98 (prop: 0.76) ","3.273","1","2","3","3","98","8.375"
"F1SCENRL","integer","10","0","0","6 (prop: 14.84) , 5 (prop: 12.8) , 1 (prop: 12.3) , 4 (prop: 12) , 2 (prop: 11.66) ","5.431","1","3","5","7","98","8.735"
"G10ENROL","integer","8","0","0","2 (prop: 19.08) , 3 (prop: 17.88) , 1 (prop: 17.28) , 4 (prop: 14.44) , 5 (prop: 14.04) ","4.87","1","2","3","5","98","11.678"
"F12XRPRO","integer","5","0","8.38","2 (prop: 47.49) , 1 (prop: 34.56) , 9 (prop: 8.51) , 0 (prop: 8.38) , 8 (prop: 1.06) ","2.146","0","1","2","2","9","2.283"
"F12XMPRO","integer","7","0","8.03","3 (prop: 20.41) , 4 (prop: 20.21) , 1 (prop: 19.68) , 8 (prop: 11.69) , 2 (prop: 11.46) ","3.548","0","1","3","4","9","2.741"
"F12XSPRO","integer","6","0","15.45","1 (prop: 27.11) , 2 (prop: 24.89) , 0 (prop: 15.45) , 3 (prop: 13.06) , 8 (prop: 10.97) ","2.805","0","1","2","3","9","2.914"
"F2S30AA","integer","8","0","0","2 (prop: 56.89) , 4 (prop: 14.24) , 9 (prop: 10.12) , 5 (prop: 9.42) , 8 (prop: 5.82) ","3.63","1","2","2","5","9","2.419"
"F2S30AB","integer","7","0","0","2 (prop: 62.61) , 4 (prop: 10.56) , 9 (prop: 10.12) , 8 (prop: 6.36) , 5 (prop: 5.06) ","3.432","1","2","2","4","9","2.476"
"F2S30AC","integer","8","0","0","2 (prop: 72) , 9 (prop: 10.12) , 8 (prop: 7.26) , 1 (prop: 4.1) , 4 (prop: 3.58) ","3.255","1","2","2","2","9","2.533"
"F2S30BA","integer","6","0","0","2 (prop: 65) , 3 (prop: 12.26) , 9 (prop: 10.12) , 4 (prop: 5.52) , 8 (prop: 5.3) ","3.241","1","2","2","3","9","2.385"
"F2S30BB","integer","7","0","0","2 (prop: 68.39) , 3 (prop: 10.89) , 9 (prop: 10.12) , 8 (prop: 5.33) , 1 (prop: 2.66) ","3.163","1","2","2","3","9","2.402"
"F2S30BC","integer","7","0","0","2 (prop: 67.63) , 9 (prop: 10.12) , 3 (prop: 7.7) , 4 (prop: 5.48) , 8 (prop: 5.47) ","3.19","1","2","2","3","9","2.419"
"F2S30BD","integer","7","0","0","2 (prop: 64.16) , 3 (prop: 14.44) , 9 (prop: 10.12) , 8 (prop: 5.53) , 4 (prop: 3.02) ","3.223","1","2","2","3","9","2.401"
"F2S30BE","integer","6","0","0","2 (prop: 66.51) , 3 (prop: 12.03) , 9 (prop: 10.12) , 8 (prop: 5.63) , 4 (prop: 5.15) ","3.264","1","2","2","3","9","2.392"
"F2S30BF","integer","7","0","0","2 (prop: 59.98) , 1 (prop: 11.33) , 9 (prop: 10.12) , 3 (prop: 9.73) , 8 (prop: 5.76) ","3.1","1","2","2","3","9","2.482"
"F2S30BG","integer","7","0","0","2 (prop: 57.32) , 3 (prop: 18.4) , 9 (prop: 10.12) , 8 (prop: 5.43) , 1 (prop: 4.69) ","3.253","1","2","2","3","9","2.396"
"F2S30BH","integer","7","0","0","2 (prop: 64.7) , 1 (prop: 12.04) , 9 (prop: 10.12) , 3 (prop: 6.08) , 8 (prop: 6) ","3.03","1","2","2","2","9","2.507"
"F2S30BI","integer","7","0","0","2 (prop: 59.04) , 3 (prop: 10.9) , 1 (prop: 10.15) , 9 (prop: 10.12) , 8 (prop: 5.37) ","3.128","1","2","2","3","9","2.453"
"F2S30BJ","integer","7","0","0","2 (prop: 57.98) , 3 (prop: 13.67) , 9 (prop: 10.12) , 1 (prop: 7.8) , 8 (prop: 5.54) ","3.198","1","2","2","3","9","2.435"
"F2S30BK","integer","7","0","0","2 (prop: 62.75) , 1 (prop: 10.97) , 9 (prop: 10.12) , 3 (prop: 8.18) , 8 (prop: 5.5) ","3.06","1","2","2","3","9","2.471"
"F2S31","integer","10","0","25.43","0 (prop: 25.43) , 2 (prop: 18.67) , 3 (prop: 11.69) , 4 (prop: 11.38) , 1 (prop: 11) ","13.684","0","0","2","4","99","31.482"
"F2S39A","integer","5","0","0","9 (prop: 57.68) , 2 (prop: 30.39) , 1 (prop: 9.65) , 8 (prop: 2.27) , 6 (prop: 0.01) ","6.077","1","2","9","9","9","3.543"
"F2S39B","integer","5","0","0","9 (prop: 57.68) , 2 (prop: 35.15) , 1 (prop: 4.81) , 8 (prop: 2.35) , 6 (prop: 0.01) ","6.13","1","2","9","9","9","3.478"
"F2S39C","integer","4","0","0","9 (prop: 57.68) , 2 (prop: 35.99) , 1 (prop: 3.87) , 8 (prop: 2.47) ","6.147","1","2","9","9","9","3.463"
"F2S39D","integer","5","0","0","9 (prop: 57.68) , 2 (prop: 20.2) , 1 (prop: 19.9) , 8 (prop: 2.22) , 6 (prop: 0.01) ","5.972","1","2","9","9","9","3.672"
"F2S39E","integer","5","0","0","9 (prop: 57.68) , 2 (prop: 30.3) , 1 (prop: 9.71) , 8 (prop: 2.29) , 6 (prop: 0.03) ","6.079","1","2","9","9","9","3.543"
"F2S39F","integer","5","0","0","9 (prop: 57.68) , 2 (prop: 32.05) , 1 (prop: 7.89) , 8 (prop: 2.37) , 6 (prop: 0.01) ","6.101","1","2","9","9","9","3.518"
"F2S39G","integer","5","0","0","9 (prop: 57.68) , 2 (prop: 31.54) , 1 (prop: 8.48) , 8 (prop: 2.28) , 6 (prop: 0.02) ","6.09","1","2","9","9","9","3.527"
"F2S39H","integer","5","0","0","9 (prop: 57.68) , 2 (prop: 34.57) , 1 (prop: 5.43) , 8 (prop: 2.29) , 6 (prop: 0.03) ","6.122","1","2","9","9","9","3.487"
"F2DOSTAT","integer","6","0","88.19","0 (prop: 88.19) , 5 (prop: 7.16) , 3 (prop: 3.86) , 2 (prop: 0.47) , 1 (prop: 0.27) ","0.488","0","0","0","0","5","1.389"
"F22XRPRO","integer","6","0","5.2","2 (prop: 28.97) , 9 (prop: 22.99) , 1 (prop: 22.34) , 3 (prop: 17.59) , 0 (prop: 5.2) ","3.633","0","1","2","8","9","3.203"
"F22XMPRO","integer","8","0","4.35","9 (prop: 22.99) , 4 (prop: 21.06) , 3 (prop: 16.82) , 1 (prop: 13.86) , 2 (prop: 9.19) ","4.571","0","2","4","8","9","3.041"
"F22XSPRO","integer","6","0","10.95","9 (prop: 22.99) , 2 (prop: 21.1) , 1 (prop: 20.8) , 3 (prop: 16.49) , 0 (prop: 10.95) ","3.807","0","1","2","8","9","3.402"
"F2RTROUT","integer","14","0","0","1 (prop: 70.92) , 99 (prop: 14.27) , 7 (prop: 7.86) , 6 (prop: 1.77) , 8 (prop: 1.64) ","15.911","1","1","1","7","99","33.983"
"F2RTRPRG","integer","7","0","0","2 (prop: 40) , 6 (prop: 18.2) , 1 (prop: 16.96) , 99 (prop: 14.27) , 5 (prop: 5.35) ","16.616","1","2","2","6","99","33.651"
"BYRATIO","integer","22","0","0","18 (prop: 9.52) , 16 (prop: 9.4) , 15 (prop: 8.94) , 14 (prop: 7.75) , 17 (prop: 7.04) ","18.754","10","14","17","21","99","10.325"
"PPOSTEX1","integer","6","0","0","2 (prop: 54.89) , 1 (prop: 44.18) , -9 (prop: 0.74) , -8 (prop: 0.11) , -6 (prop: 0.06) ","1.46","-9","1","2","2","2","1.097"
"PPOSTEX2","integer","6","0","0","2 (prop: 65.28) , 1 (prop: 33.79) , -9 (prop: 0.74) , -8 (prop: 0.11) , -6 (prop: 0.06) ","1.564","-9","1","2","2","2","1.096"
"F3DIPLOM","integer","8","0","0","1 (prop: 86.84) , 6 (prop: 4.65) , 2 (prop: 4.15) , 5 (prop: 3.17) , -9 (prop: 0.74) ","1.337","-9","1","1","1","6","1.543"
"F4EGRD","integer","13","0","0","-3 (prop: 24.31) , 3 (prop: 24.17) , 2 (prop: 21.67) , 1 (prop: 10.02) , 4 (prop: 9.39) ","1.172","-7","-3","2","3","9","2.967"
"F4BYPNFL","integer","1","0","0","1 (prop: 100) ","1","1","1","1","1","1","0"
"F4PNLFL","integer","2","0","4.89","1 (prop: 95.11) , 0 (prop: 4.89) ","0.951","0","1","1","1","1","0.216"
"F4F1PNFL","integer","2","0","4.89","1 (prop: 95.11) , 0 (prop: 4.89) ","0.951","0","1","1","1","1","0.216"
"F4F2PNFL","integer","2","0","1.65","1 (prop: 98.35) , 0 (prop: 1.65) ","0.983","0","1","1","1","1","0.127"
"F4HSDIPL","integer","4","0","0","1 (prop: 94.83) , 3 (prop: 4.3) , 2 (prop: 0.83) , -9 (prop: 0.05) ","1.089","-9","1","1","1","3","0.474"
"F4HHDG","integer","8","0","0","4 (prop: 30.51) , 1 (prop: 29.56) , -3 (prop: 19.81) , 2 (prop: 7.79) , 3 (prop: 7.35) ","1.422","-9","1","1","4","6","2.785"
"F4TYPEDG","integer","12","0","0","1 (prop: 29.56) , 4 (prop: 27.18) , -3 (prop: 19.81) , 2 (prop: 7.79) , 3 (prop: 6.74) ","1.685","-9","1","1","4","10","3.211"
"F4ATT4YR","integer","4","0","0","1 (prop: 55.26) , 2 (prop: 24.29) , -3 (prop: 19.81) , -9 (prop: 0.64) ","0.386","-9","1","1","1","2","1.918"
"F4ATTPSE","integer","3","0","0","1 (prop: 80.12) , 2 (prop: 19.81) , -9 (prop: 0.07) ","1.191","-9","1","1","1","2","0.482"
"F1QFLG","integer","3","0","3.53","1 (prop: 92.91) , 2 (prop: 3.56) , 0 (prop: 3.53) ","1","0","1","1","1","2","0.266"
"F2QFLG","integer","3","0","0.94","1 (prop: 89.88) , 2 (prop: 9.18) , 0 (prop: 0.94) ","1.082","0","1","1","1","2","0.307"
"BYSES","numeric","2556","0","0.16","0","-0.084","-2.875","-0.664","-0.082","0.463","2.56","0.787"
"BYGRADS","numeric","32","0","0","0","3.037","0.5","2.5","3","3.5","9.8","0.961"
"BY2XRSTD","numeric","2958","0","0","0","53.21","31.92","43.358","51.425","60.55","99.99","13.469"
"BY2XMSTD","numeric","3292","0","0","0","53.397","34.09","43.3","50.865","60.453","99.99","13.557"
"BY2XSSTD","numeric","3639","0","0","0","53.217","31.74","43.96","50.9","59.53","99.99","13.544"
"BY2XHSTD","numeric","3456","0","0","0","53.247","28.42","44.64","51.13","59.02","99.99","13.764"
"F12XRSTD","numeric","3193","0","0","0","55.587","30.58","43.907","53.47","61.89","99.99","16.608"
"F12XMSTD","numeric","3342","0","0","0","55.806","31.43","44.08","53.4","62.11","99.99","16.721"
"F12XSSTD","numeric","3409","0","0","0","55.848","31.65","43.96","52.45","61.96","99.99","17.108"
"F12XHSTD","numeric","3338","0","0","0","55.958","28.18","44.987","51.95","61.58","99.99","17.301"
"F22XRSTD","numeric","3167","0","0","0","62.707","29.01","46.785","56.98","66.54","99.99","22.168"
"F22XMSTD","numeric","3319","0","0","0","62.878","29.63","46.76","56.555","68.495","99.99","22.163"
"F22XSSTD","numeric","3183","0","0","0","62.833","29.7","46.04","56.37","68.29","99.99","22.368"
"F22XHSTD","numeric","3204","0","0","0","63.098","25.35","46.03","56.78","68.703","99.99","22.419"
"F2RHENG2","numeric","680","0","0","0","21.132","1","5","7.38","10.25","99.99","33.746"
"F2RHMAG2","numeric","519","0","0","0","21.984","1","5.75","8.13","10.75","99.99","33.853"
"F2RHSCG2","numeric","550","0","0","0","21.218","1","5.5","8","10.67","99.99","33.363"
"F2RHSOG2","numeric","619","0","0","0","20.747","1","5","7.295","10.33","99.99","33.465"
"F2RHCOG2","numeric","134","0","0","0","61.654","1","6","99.98","99.98","99.99","46.429"
"F2RHFOG2","numeric","296","0","0","0","39.9","1","5","9","99.98","99.99","44.94"
"F2RENG_C","numeric","128","0","1.48","0","17.536","0","4","4","5","99.99","33.651"
"F2RFOR_C","numeric","80","0","23.57","0","15.724","0","0.5","2","3","99.99","34.401"
"F2RMAT_C","numeric","109","0","1.92","0","4.032","0","2.5","3.5","4","9.99","2.644"
"F2RAL1_C","numeric","44","0","19.62","0","2.233","0","1","1","2","9.99","3.223"
"F2RAL2_C","numeric","26","0","42.42","0","1.88","0","0","1","1","9.99","3.35"
"F2RGEO_C","numeric","28","0","27.46","0","2.019","0","0","1","1","9.99","3.286"
"F2RTRI_C","numeric","16","0","68.28","0","1.562","0","0","0","0.5","9.99","3.452"
"F2RPRE_C","numeric","15","0","70.92","0","1.558","0","0","0","1","9.99","3.455"
"F2RCAL_C","numeric","15","0","75.98","0","1.523","0","0","0","0","9.99","3.468"
"F2ROMA_C","numeric","56","0","55.96","0","1.807","0","0","0","1","9.99","3.408"
"F2RSCI_C","numeric","132","0","2.36","0","16.671","0","2","3","4","99.99","34.006"
"F2REAR_C","numeric","17","0","67.45","0","1.597","0","0","0","1","9.99","3.444"
"F2RBIO_C","numeric","62","0","8.48","0","2.393","0","1","1","2","9.99","3.151"
"F2RCHE_C","numeric","43","0","39.54","0","1.925","0","0","1","1","9.99","3.336"
"F2RPHY_C","numeric","28","0","63.58","0","1.657","0","0","0","1","9.99","3.428"
"F2ROSC_C","numeric","48","0","34.64","0","1.961","0","0","1","1","9.99","3.32"
"F2RSOC_C","numeric","136","0","2.33","0","17.036","0","3","3.5","4.5","99.99","33.858"
"F2RHIS_C","numeric","81","0","4.56","0","3.006","0","1.5","2","3","9.99","2.955"
"F2ROSO_C","numeric","89","0","9.15","0","2.61","0","1","1.5","2.5","9.99","3.112"
"F2RCOM_C","numeric","71","0","38.51","0","1.868","0","0","0.5","1","9.99","3.37"
"F2RVAG_C","numeric","33","0","79.54","0","14.377","0","0","0","0","99.99","34.929"
"F2RVBU_C","numeric","58","0","58.78","0","14.643","0","0","0","1","99.99","34.826"
"F2RVGN_C","numeric","50","0","65.63","0","1.666","0","0","0","1","9.99","3.453"
"F2RVHE_C","numeric","36","0","81.9","0","14.305","0","0","0","0","99.99","34.955"
"F2RVHO_C","numeric","34","0","78.93","0","14.343","0","0","0","0","99.99","34.941"
"F2RVMA_C","numeric","29","0","81.78","0","1.477","0","0","0","0","9.99","3.489"
"F2RVTE_C","numeric","13","0","84.33","0","1.439","0","0","0","0","9.99","3.491"
"F2RVTR_C","numeric","71","0","67.79","0","14.596","0","0","0","1","99.99","34.85"
"F4BYPNWT","numeric","4624","0","0","0","257.197","9.811","124.587","187.954","253.766","25938.808","512.181"
"F4PNLWT","numeric","4223","0","4.89","0","256.636","0","131.931","219.664","296.584","10370.884","325.175"
"F4F1PNWT","numeric","4221","0","4.89","0","221.134","0","113.776","194.678","256.626","9743.882","271.93"
"F4F2PNWT","numeric","4464","0","1.65","0","223.687","0","122.331","189.522","251.747","8631.115","271.622"
"","","0","0","0","0","0","0","0","0","0","0","0"
"unit of observation:","","0","0","0","0","0","0","0","0","0","0","0"
"number of observations:","11384","0","0","0","0","0","0","0","0","0","0","0"
"number of /:","11384","0","0","0","0","0","0","0","0","0","0","0"
"earliest_date:","0","0","0","0","0","0","0","0","0","0","0","0"
"latest_date:","0","0","0","0","0","0","0","0","0","0","0","0"
"var_count:","149","0","0","0","0","0","0","0","0","0","0","0"
"% of observations missing:","0","0","0","0","0","0","0","0","0","0","0","0"
